Date,Close,IMF_1,IMF_2,IMF_3,IMF_4,IMF_5,IMF_6,Sentiment
2015-01-05,8407.9501953125,-191.525359297471,3.588300253909451,-171.12814032862292,319.4036437444956,711.696681604019,7735.915069336171,0.448285
2015-01-12,8291.349609375,-291.3018927051893,-0.4397444806407236,-186.2150659358427,323.17205568703605,718.9711538590111,7727.163102950626,0.448285
2015-01-19,8550.0498046875,-69.05433522605409,39.90935566885727,-187.89839793558957,323.5284138203344,724.6339986358732,7718.930769724078,0.448285
2015-01-27,8871.349609375,229.690089830471,43.75197952975728,-162.32756498786793,320.32712765519824,728.6880457458628,7711.219931601578,0.448285
2015-02-03,8823.150390625,192.17115738153012,-15.200536224207733,-102.9879090987392,313.9693770745127,731.1658543257133,7704.032447166191,0.448285
2015-02-10,8478.099609375,-144.64422433148175,-91.9534079866609,-19.771491702498377,304.992778455018,732.1058749533535,7697.370079987269,0.448285
2015-02-18,8811.5498046875,113.97108236193648,-90.61275902627835,71.47538133750221,293.9349641671352,731.5471239167848,7691.23401193042,0.448285
2015-02-25,8801.900390625,-105.77673212387892,61.0037086306125,150.1858051717155,281.3335665812881,729.5300590114906,7685.623983353773,0.448285
2015-03-04,9109.150390625,106.91173251952972,133.2628810383184,194.6146863508576,267.72621806788425,726.0968379847927,7680.538034663618,0.448285
2015-03-12,8740.650390625,-106.52163185515744,6.214077583842208,190.07927198302187,253.6148480630289,721.2901356938037,7675.97368915646,0.448285
2015-03-19,8749.4501953125,110.47109399221132,-137.68907854122193,150.22794761421108,239.35913512287408,715.1526683666705,7671.928428757755,0.448285
2015-03-26,8474.9501953125,-125.20269050874772,-94.91665338341264,93.65735328205608,225.2852982980941,707.7271522315951,7668.399735392915,0.448285
2015-04-06,8615.7998046875,-19.36472823336313,27.87930844031224,31.12371247980604,211.7201174966113,699.0563035167557,7665.385090987378,0.448285
2015-04-13,8801.75,164.23425982994988,113.0806796296038,-26.620128002796356,198.9903726263356,689.1828384503199,7662.881977466587,0.448285
2015-04-22,8400.400390625,-116.97381976612678,63.78030429292118,-72.8662875134024,187.42284359517467,678.1494732604679,7660.887876755965,0.448285
2015-04-29,8274.7998046875,-77.34208219655982,-40.21082330374637,-110.39079507957594,177.34428667661834,665.9989478098012,7659.400270780961,0.448285
2015-05-07,8077.0,-182.3588764984445,-76.7494670270114,-144.16375804662587,169.08130833848043,652.7741517666086,7658.4166414669935,0.448285
2015-05-14,8232.4501953125,-16.64460777671147,-33.30966582038093,-177.0084916776406,162.959510517767,638.5189793299639,7657.934470739501,0.448285
2015-05-21,8434.5,168.77781388343243,29.01794940629064,-203.8288236640764,159.30089243548855,623.2809274149413,7657.951240523925,0.448285
2015-05-28,8345.7001953125,92.284218853541,48.938758077083605,-219.5221606131008,158.42463052229695,607.1103157269891,7658.46443274569,0.448285
2015-06-04,8155.14990234375,-55.33288499995293,21.21458853193896,-220.82533298144563,160.5639088787673,590.0580935842164,7659.471529330226,0.448285
2015-06-11,8157.2998046875,-16.108438865657728,-23.28651972162826,-201.9620317758527,165.51154217727685,572.17524067038,7660.970012202982,0.448285
2015-06-18,8113.7001953125,-86.41611755466324,-31.740282113576036,-157.19196336859173,172.57799111208118,553.5132039478729,7662.957363289377,0.448285
2015-06-25,8336.25,51.02977449006861,-8.090955750401076,-87.21425697615145,180.96708577733568,534.1272879442969,7665.431064514852,0.448285
2015-07-02,8471.9501953125,94.43524517731552,6.862127920457952,-1.6902578340544347,189.87181838027695,514.082663863659,7668.388597804846,0.448285
2015-07-09,8364.849609375,-108.96910279684032,22.879914264961,87.18166878398056,198.47926237604227,493.4504216620795,7671.8274450847775,0.448285
2015-07-16,8546.150390625,10.689314299770103,15.26037655372222,166.17746897596967,205.9849720362568,472.2931704791826,7675.745088280098,0.448285
2015-07-23,8643.9501953125,101.10036520248023,-18.804085342378603,219.25688504902467,211.59689328970876,450.66112779743503,7680.13900931623,0.448285
2015-07-30,8417.0,-91.8491185298742,-48.5649144609055,229.2421810009673,214.5651206184505,428.6000412527552,7685.0066901186065,0.448285
2015-08-06,8585.7998046875,92.2361076412289,-3.6054587055428,186.31621194438048,214.35247217306727,406.1548590216985,7690.345612612668,0.448285
2015-08-13,8384.4501953125,-108.5864190868854,102.27511906810992,100.533424986648,210.7043654129087,383.37044620786736,7696.153258723853,0.448285
2015-08-20,8471.0498046875,128.99807267667794,82.4116992291562,-6.50617269040255,203.42770661322336,360.2913884812689,7702.427110377576,0.448285
2015-08-27,7921.60009765625,-135.80192782220502,-68.46135812512613,-112.59293945685636,192.33129421699493,336.9603793441546,7709.164649499288,0.448285
2015-09-03,7774.4501953125,-58.32934555444382,-178.35264074740363,-195.8752153660584,177.227308560096,313.4167304058883,7716.363358014421,0.448285
2015-09-10,7729.0498046875,-51.86537556868661,-153.166220427385,-237.56700041905657,157.92872331692618,289.6989599372987,7724.020717848403,0.448285
