IMF_1,IMF_2,IMF_3,IMF_4,IMF_5,IMF_6
-191.525359297471,3.588300253909451,-171.12814032862292,319.4036437444956,711.696681604019,7735.915069336171
-291.3018927051893,-0.43974448064072363,-186.2150659358427,323.17205568703605,718.9711538590111,7727.163102950626
-69.05433522605409,39.909355668857266,-187.89839793558954,323.5284138203344,724.6339986358732,7718.930769724078
229.690089830471,43.75197952975728,-162.32756498786793,320.32712765519824,728.6880457458628,7711.2199316015785
192.17115738153015,-15.200536224207733,-102.98790909873921,313.9693770745127,731.1658543257133,7704.032447166191
-144.64422433148175,-91.9534079866609,-19.771491702498377,304.99277845501797,732.1058749533535,7697.3700799872695
113.97108236193648,-90.61275902627837,71.47538133750221,293.9349641671352,731.5471239167848,7691.23401193042
-105.77673212387893,61.0037086306125,150.1858051717155,281.33356658128815,729.5300590114906,7685.623983353773
106.91173251952972,133.2628810383184,194.61468635085757,267.72621806788425,726.0968379847927,7680.538034663618
-106.52163185515745,6.214077583842208,190.07927198302187,253.61484806302892,721.2901356938037,7675.97368915646
110.47109399221131,-137.68907854122193,150.22794761421108,239.35913512287408,715.1526683666705,7671.928428757755
-125.20269050874772,-94.91665338341265,93.65735328205608,225.28529829809406,707.7271522315951,7668.399735392915
-19.364728233363135,27.87930844031224,31.12371247980604,211.7201174966113,699.0563035167557,7665.385090987378
164.23425982994988,113.0806796296038,-26.620128002796353,198.9903726263356,689.1828384503199,7662.881977466587
-116.97381976612678,63.78030429292118,-72.8662875134024,187.42284359517467,678.1494732604679,7660.887876755965
-77.34208219655982,-40.21082330374637,-110.39079507957594,177.34428667661834,665.9989478098012,7659.400270780961
-182.3588764984445,-76.7494670270114,-144.16375804662587,169.08130833848043,652.7741517666086,7658.4166414669935
-16.64460777671147,-33.30966582038093,-177.0084916776406,162.959510517767,638.5189793299639,7657.934470739501
168.77781388343243,29.017949406290636,-203.8288236640764,159.30089243548855,623.2809274149413,7657.951240523925
92.28421885354099,48.938758077083605,-219.52216061310082,158.42463052229695,607.1103157269891,7658.46443274569
-55.332884999952924,21.214588531938958,-220.82533298144565,160.5639088787673,590.0580935842164,7659.471529330226
-16.108438865657728,-23.28651972162826,-201.96203177585267,165.51154217727685,572.17524067038,7660.970012202982
-86.41611755466324,-31.740282113576033,-157.19196336859173,172.57799111208118,553.5132039478729,7662.957363289377
51.029774490068604,-8.090955750401076,-87.21425697615145,180.96708577733568,534.1272879442969,7665.431064514852
94.43524517731552,6.862127920457952,-1.6902578340544347,189.87181838027698,514.082663863659,7668.388597804846
-108.96910279684033,22.879914264961002,87.18166878398056,198.47926237604227,493.4504216620795,7671.8274450847775
10.689314299770103,15.26037655372222,166.17746897596967,205.98497203625678,472.2931704791826,7675.745088280098
101.10036520248025,-18.804085342378603,219.25688504902467,211.59689328970873,450.66112779743503,7680.13900931623
-91.84911852987419,-48.5649144609055,229.2421810009673,214.56512061845046,428.60004125275515,7685.0066901186065
92.2361076412289,-3.6054587055428,186.31621194438048,214.35247217306727,406.1548590216985,7690.345612612668
-108.58641908688541,102.27511906810992,100.53342498664801,210.7043654129087,383.37044620786736,7696.153258723853
128.99807267667794,82.4116992291562,-6.50617269040255,203.42770661322336,360.2913884812689,7702.427110377576
-135.80192782220502,-68.46135812512613,-112.59293945685637,192.33129421699493,336.9603793441546,7709.164649499288
-58.32934555444382,-178.35264074740363,-195.8752153660584,177.227308560096,313.4167304058883,7716.3633580144215
-51.86537556868661,-153.16622042738499,-237.56700041905657,157.92872331692618,289.6989599372987,7724.020717848403
108.81295190839279,-40.15274134071727,-233.5106198617265,134.3208121969761,265.8455814829128,7732.134210926662
-94.53195238607569,90.3793108279452,-192.28369417945464,106.63971266323091,241.89510858719962,7740.701319174655
77.58410382449966,184.93490692170255,-125.15266880733404,75.47827406113774,217.8860547947045,7749.719524517791
-62.340732935147464,233.20232916052055,-43.59641769732124,41.64177425301646,193.85693364991693,7759.186308881514
52.70014577336421,241.6682024267241,41.01286599799903,5.973177600807081,169.8462586973412,7769.0991541912645
2.2983547870905343,173.08293345712877,118.85507977916008,-30.68455153358917,145.89254348149646,7779.455542372464
67.3725650377431,8.524271310709908,184.20425788610086,-67.48844878823682,122.03430154688357,7790.252955350549
-116.3209699347786,-149.9463969039158,232.54064936409398,-103.62200870187718,98.31004643801369,7801.488875050964
51.03203746354917,-218.17827127539263,259.52271051914676,-138.39564946206957,74.75829169938997,7813.160783399127
178.34355376648938,-209.18221793635965,261.7054885296159,-171.30053755574912,51.417550875520135,7825.266162320484
57.63700381269993,-144.60323612138473,239.48313592364033,-202.09593017883083,28.32633751091648,7837.80249374046
-205.76872908346027,-58.72469262853174,196.88322926531947,-230.48003697540616,5.523165150081027,7850.767259584498
-21.042791230666275,36.296167566654134,139.31035829044984,-256.1183213982349,-16.95345266248079,7864.1579417780285
189.7426450953742,106.57823621537672,72.64854103760165,-278.67624690008813,-39.065002382248686,7877.972022246483
115.71740002987993,136.6011909262774,2.1164782144809293,-297.8192769337028,-60.77297046473662,7892.206982915301
-30.145788074865358,145.08999106028895,-68.6528880343001,-313.21287495186823,-82.03884336540835,7906.860305709903
-130.917929948677,130.06451744659063,-136.7294481065526,-324.5225044073202,-102.8241075397801,7921.929472555739
21.981095665759945,119.96722524626999,-198.35640809409506,-331.4135247160602,-123.0903534801047,7937.411965378231
99.64816664719007,81.93653619251901,-247.08930665730878,-333.5494236734938,-142.80104329922517,7953.305266102819
-3.232401321029504,5.38071037854074,-275.64173987117897,-330.5832399037935,-161.93008828122544,7969.606856654937
56.55091093751731,-86.0394788422589,-276.71795765376334,-322.2356288326495,-180.4721622251109,7986.314218960016
-124.71236718836188,-96.74616266056852,-245.05142593560112,-308.6338756659017,-198.43090583680916,8003.424834943492
